Player,NOTES
Keenan Allen,"Did you know Allen hasn‘t topped six touchdowns in any of the last six seasons? That‘s despite Philip Rivers throwing at least 28 touchdowns in five of them. He‘s a phenomenal route runner, but not the go-up-and-get-it receiver you‘ll fall in love with in the red zone. The move to Tyrod Taylor is likely going to be a tough one for Allen, as Taylor will lack pass attempts in comparison to Rivers. Even if we were to say the Chargers threw the ball 500 times (Taylor‘s career-high is 437 attempts), that‘s still a massive decrease from the 597 times they threw the ball in 2019. Taking away 97-plus targets will be felt throughout the depth chart, especially when you don‘t score a lot of touchdowns. It does help that the Chargers receiving corps is very top heavy with Allen and Mike Williams, though. Still, it‘s likely there‘ll be less than 250 targets between the Chargers receivers, so Allen isn‘t getting close to the 149 targets he got in 2019. Realistically, he‘s likely to be in the 110-120 target range. That‘s still enough for low-end WR2/high-end WR3 numbers, but don‘t expect the same Allen whose been relied upon as a borderline WR1 anymore."
Kyler Murray,"There‘s a realistic scenario where Murray is the QB1 at the end of the season, though I can‘t say we should expect it. In the first year of Kliff Kingsbury‘s offense, he averaged just 6.9 yards per attempt. While it was his rookie season, the Cardinals also had the element of surprise, in that no one had existing tape on the offense. Adding DeAndre Hopkins surely helps his chances, though. Did you know there were six games that Murray didn‘t throw a touchdown last year? Based on where his pass attempts and rushing attempts took place, Murray should‘ve scored the third-most fantasy points among quarterbacks last year. Natural progression to his career should improve efficiency. If you‘re looking for upside, he‘s got it. He belongs in the same tier as guys like Dak Prescott, Russell Wilson, and Deshaun Watson. The difference between him and those guys? They‘ve proved to be top-three fantasy quarterbacks already."
Deshaun Watson,"After finishing as the No. 4 quarterback in back-to-back seasons, many are starting to slide Watson down draft boards due to the loss of DeAndre Hopkins. We‘ve never seen Watson without Hopkins, which certainly does raise some questions, but it also could provide an outlet for even more rushing yards for him. Watson maneuvers the pocket extremely well and buys himself time to find open receivers. Now without his safety blanket in Hopkins, we could see his rushing ceiling go up. Did you know he rushed for at least 32 yards in 9-of-15 games last year but never topped 47 rushing yards? That‘s odd, to say the least. The Texans defense will be as bad as it‘s ever been with Watson under center, which should mean even more dropbacks. The reason I‘m still okay drafting Watson as a top-six quarterback: He‘s only thrown 26 touchdown passes in each of the last two years and has still been a top-12 type quarterback in 63.2 percent of his career games, which is the second-highest rate since 2000, behind only Patrick Mahomes. For context, there were just seven quarterbacks who topped 50 percent last year alone. Watson may not have the passing ceiling without Hopkins, but I‘m expecting his rushing totals to make up for some of that, leaving him in the top-six quarterbacks."
Kareem Hunt,"The Browns are going to have a new offense in 2020, so we can‘t automatically assume that Hunt will be as big as he was in the gameplanning process in 2020. From the time he entered the lineup last year, he was the No. 26 running back in half-PPR formats while Nick Chubb was the No. 18 running back. The reason we have to assume he‘ll have a role is due to the Browns tendering him with a second rounder instead of moving on. Chubb is the superior play in this backfield, but it‘s important to note that Hunt has standalone value, while also offering league-winning handcuff value. If Chubb were to miss time, Hunt would be a top-five play."
Stefon Diggs,"Going from Kirk Cousins to Josh Allen isn‘t going to be a highlight of Diggs’ career, as Cousins has continually been one of the better deep-ball passers, while Allen was among the worst in 2019. Diggs actually led the league in yardage on passes that traveled over 20 yards in the air last year. The Bills are still a run-first team that has a top-tier defense, so it‘s hard to expect a big jump in pass attempts. They targeted their wide receivers 310 times last year, which was a lot for a team that threw the ball just 513 times. The 60.4 percent target share was the fourth-highest mark in the league. So, again, it‘s tough to say there will be more to go around. Knowing that John Brown was fantastic last year (115 targets), as was Cole Beasley (104 targets), it‘s tough to take targets away from them, but we have to start taking them from someone because you don‘t trade for someone like Diggs and not target him. Still, giving him even 115 targets might be too generous, as it‘d completely crush the value of Brown, who already has experience with the quarterback/offense. Realistically, I have Diggs down for 111 targets in my projections. When tied to Allen‘s inconsistencies, that is a WR3 in fantasy who can get into WR2 territory at year‘s end, similarly to the way Brown did last year. Diggs is probably a top-eight wide receiver in the league, but you need to targets to move up the boards in fantasy football. I‘d be happy landing him as my WR3, but that‘s about it."
T.Y. Hilton,"As a soon-to-be 31-year-old coming off an injury-plagued season and playing with a new quarterback, it‘s not a good look to show up to camp with a non-football hamstring injury. There will be no preseason game action for him to build any chemistry with his new quarterback, so training camp was important. Hilton has never been a touchdown guy, as his career high is capped out at seven touchdowns. So, he‘s reliant upon targets more than someone like D.K. Metcalf, who can score 10 touchdowns. Not only do we have to worry about Hilton‘s health and age, but we also have to worry about his quarterback‘s. Philip Rivers was not good last year and hasn‘t traditionally thrown to guys like Hilton who are undersized and play on the perimeter. With so many variables and lack of true upside, I‘m okay fading Hilton, especially at his current cost. If you‘re able to land him as a backend WR3, I‘m okay with the risk/reward, as there aren‘t too many safe options in that range."
Michael Gallup,"It‘s funny how I‘ve become someone who‘s viewed as a “Gallup hater” in some circles. Let it be known that Gallup was one of my favorite receiver prospects in the 2018 draft class. But guys, he‘s not better than Amari Cooper. It‘s clear that Gallup benefits from Cooper‘s presence in the lineup and has fit into his field-stretching role rather nicely. Now, the question becomes: How much does CeeDee Lamb affect Gallup‘s target share? When Lamb was first drafted, I was concerned, but after sitting down and going through projections, I was still able to find 100-105 targets for him in the offense, which should net him a WR3 finish in fantasy. There are some risks taking him inside the top-30 because you‘re taking on some of the risk that Lamb doesn‘t eat into his target share a bit more, though it‘s a smaller risk knowing we‘ve had a shortened offseason with no preseason action. I have Gallup as a back-end WR3 in fantasy with upside for a bit more if Lamb takes time to develop, which is not out of question. If Cooper missed time, Gallup would be my favorite receiver in the offense and a high-end WR2 start most weeks."
Darren Waller,"There was just one tight end in all of football who finished all 16 games with at least 7.0 PPR points. It was Waller. Not only that, but he also offered a ceiling, hitting 16-plus points on five separate occasions. The issue with relying on that again is the new competition for targets. As much as we don‘t want to consider Jason Witten a threat, he‘s going to steal some targets. Not just him, but Henry Ruggs, Lynn Bowden, and Bryan Edwards are all guys who‘ll demand some sort of target share. I still view Waller as a top-five tight end, though he‘s teetering there."
Jordan Howard,"It seems like years since Howard has been a force to reckon with in fantasy football, but prior to the 2019 season that was ended with injuries, he‘d posted 935 or more rushing yards in each of the previous three seasons. The issue with projecting that moving forward is due to his offensive line play. The Dolphins have what may be the worst line in football, while Howard has only run behind top-10 offensive lines while in Chicago and Philadelphia. Still, if you need a running back who‘s likely locked into 12-plus touches a week, Howard can fill a role on your fantasy team."
Marquise Brown,"He was coming off foot surgery last year, and it was the reason I was avoiding him in drafts. Same calendar year surgery on foot/ankle never goes well for pass catchers. Still, Brown went out there and played well the first two weeks, racking up 253 yards and two touchdowns over the first two weeks. Unfortunately, the injuries to his lower body added up as the year went on and his performances reflected that, as he topped 50 yards just once over the remaining 12 games he played. Offensive coordinator Greg Roman has said Brown‘s “had a great offseason."" Brown‘s schedule is great to start the year, too. In Weeks 2-5, he‘ll play against the Texans, Chiefs, Washington, and Bengals. The upside to Brown is a DeSean Jackson-like presence of someone who won‘t be a consistent WR1, but rather one you play as a WR2/3 who gives you “boom” potential on a weekly basis. However, if the Ravens don‘t up their pass attempts, it‘ll be hard figuring out when those booms will come. Relying on him as more than a WR3 this year would probably be a mistake, because there‘s not much evidence suggesting they‘ll throw the ball a lot more than they did in 2019."
Jarvis Landry,"Did you know there have been just three wide receivers who‘ve finished as a top-24 wide receiver in each of the last five years? Julio Jones, Mike Evans, and Landry. The way he got there in 2019 wasn‘t ideal (posted WR2 or better numbers just 31.3 percent of the time), but it was a horrendous offense. The issue now is that he‘s coming off hip surgery this offseason. While it seems like his recovery has gone well, that could be something to hold him back from being as consistent as he‘s been the last few years in Cleveland. Another hurdle is the limited targets that may be available in Stefanski‘s offense. The Vikings receivers combined for just 201 targets last year, and it would appear the Browns are trying to recreate that offense with both Austin Hooper and David Njoku in 2TE sets, while using the run game heavily. There‘s been just two times in Landry‘s career where he‘s finished with more than 7.0 yards per target, and he‘s scored more than six touchdowns just once. If he‘s cut down anywhere close to the 100-110-target mark, which seems very likely, it‘s really going to hurt his fantasy impact. Because of that, he‘s a WR3, and one who might be a bit dicier than in past years."
A.J. Green,"I get it, he hasn‘t been healthy the last two years. However, when he‘s been on the field, Green has been a legitimate superstar. Since 2000, here‘s the list of wide receivers who‘ve posted WR2 or better type numbers at a higher percentage than Green: Michael Thomas, Julio Jones, Antonio Brown, and Odell Beckham. That‘s the end of the list. He‘s played his entire career with Andy Dalton. Now moving to Joe Burrow, the quality of the targets should improve. You could argue that Green didn‘t have a chance to work with Burrow this offseason, but that‘s the case with all of Burrow‘s new group of pass catchers. There is legitimate top-10 upside with Green, which is extremely hard to find where he‘s being drafted. There‘s risk, but with where he‘s being drafted, it‘s worth it."
J.K. Dobbins,"If you‘re looking for a handcuff to Mark Ingram, Dobbins is your guy. The Ravens apparently had a first-round grade on him in the draft, so selecting him in the second round was a “no brainer,"" according to them. He‘s likely to get 8-10 touches per game even with Ingram in the lineup, as the Ravens are not going to give any one running back more than 15-16 touches per game. That limits the upside of Dobbins, as does Lamar Jackson stealing plenty of goal-line touches."
Tyler Boyd,"After finishing as the WR17 in 2018 and then the WR23 in 2019, Boyd‘s being disrespected in fantasy drafts, coming off the board outside the top 30 wide receivers. Sure, A.J. Green is back in the lineup, but drafters aren‘t high on him, either. Oddly enough, Boyd was a better fantasy asset with Green in the lineup in 2018. Boyd is 25 years old, it‘s surely not his age. Do people really think that Joe Burrow will be a downgrade from Andy Dalton? That can‘t be it. Looking at Burrow at LSU, his top receiver (stat-wise) was Justin Jefferson, who put up a stupid 111 receptions for 1,540 yards and 18 touchdowns. Jefferson was his slot receiver. While it‘s a different offense, we know Boyd saw 147 targets in the first year of Zac Taylor‘s offense. He‘s the ideal WR3 who‘s already proven to be better than that, and if the public is right on Green being “done”, then Boyd would be a mega-hit in fantasy."
Josh Allen,"Did you know that 36.4 percent of Allen‘s fantasy production came on the ground last year? His nine rushing touchdowns were the sixth-most all-time, while his 631 rushing yards ranked 18th on that list. According to where his carries took place on the field, he scored 30.97 more fantasy points than he was supposed to on the ground alone. As a passer, he scored 1.66 fewer fantasy points than expected. The Bills want to play solid defense with a ball control style offense, and knowing Allen‘s strengths, they‘ll be running the ball quite a bit. The addition of Zack Moss to the backfield will lower Allen‘s rushing touchdown ceiling, as Moss is a better version of 2019‘s Frank Gore. Not many realize Gore ranked 13th among running backs for carries inside the five-yard-line. Adding Stefon Diggs will certainly help his choices when scanning the field, but Allen needs to get better completing the deep ball. My issue with Allen is his inconsistency, and I can best explain it with this stat: It took 18.6 fantasy points on average to finish as a top-12 quarterback in 2019. Allen hit that mark just 43.8 percent of the time, which was worse than Ryan Fitzpatrick, and the same percentage as Jared Goff. Sure, the booms will be bigger with Allen than those guys, but he‘s not someone you want to put in your starting lineup every week."
Matt Ryan,"His finishes over the last four years are (most recent first): QB11, QB2, QB15, QB2. So, are we supposed to expect another QB2 finish this year? The bad news is that Ryan offers nothing on the ground. The good news is that he‘s played under Dirk Koetter in four separate seasons and has finished top-8 in pass attempts in each of them. It also doesn‘t hurt throwing to Julio Jones, Calvin Ridley, and now Todd Gurley and Hayden Hurst. Knowing there isn‘t any running back depth behind the trending-downward Gurley, it seems more likely than ever that Ryan chucks the ball up 620-plus times. His weekly floor won‘t be as high as some of the top-six quarterbacks, but Ryan is certainly in the next tier. The best part is that you get him at a discount because he‘s not the “sexy” pick that someone like Josh Allen is. He‘s my No. 7 quarterback and I feel pretty good about that."
Evan Engram,"Since coming into the league, Engram has been one of the most consistent tight ends in the league. Don‘t believe me? I‘ve tracked all tight ends since the start of the 2000 season and Engram has posted TE1-type numbers in 58.8 percent of his games. The only players with higher percentages over that time are Travis Kelce, Rob Gronkowski, and George Kittle. Engram hasn‘t had the upside of someone like Jimmy Graham or Tony Gonzalez, but he‘s been reliable. Now in an offense with more weapons than ever, will that continue? Even with most of them on the field last year, there was just one game where he saw less than seven targets (he still saw five). Do you know how many tight ends averaged more than even 6.5 targets last year? Six. Engram averaged 8.5 targets, so even if we knocked off a full 1.5 targets per game, he‘d still be in elite territory. Injuries have added up, though, and he‘s missed 13 games over the last two years, which is why he doesn‘t belong in the elite conversation. You need a discount to take players like him. Fortunately, you‘re getting that, as he‘s the eighth tight end to come off draft boards in the seventh round."
Marvin Jones,"When doing the “Boom, Bust, and Everything In Between” series, I can‘t help but notice how undervalued Jones is nearly every season. The “bust” score is anything less than 8.0 PPR points. Jones busted just 23.1 percent in 2019, the 22nd lowest mark among wide receivers. He was at just 22.2 percent in 2018, the 25th lowest mark. And lastly, he was at just 18.8 percent in 2017, the ninth-lowest mark. Meanwhile, he‘ll give you big games here and there while not completely tanking your team. If you want to wait at wide receiver in your draft and play him as your WR3, it‘s not that bad."
Will Fuller,"Even with DeAndre Hopkins on the field, Fuller has totaled 116 targets in 18 games over the last two years (6.4 per game), which is more than enough to do damage, especially when you‘ve averaged 14.3 yards per reception over your career. Fuller‘s volume will be there when he‘s in the lineup, as Hopkins’ 150-plus targets have to go somewhere, and Fuller is the only one returning to the starting lineup who has any familiarity with Deshaun Watson. You must understand the nature of his game before drafting him though. He‘s finished with fewer than 8.0 PPR points in 20-of-42 career games. He‘s also finished with more than 20.0 PPR points in nine games. He‘s been the definition of a boom-or-bust receiver, and one who‘s been hurt a lot (missed 22 games over four years). Still, with Hopkins gone, Fuller should see a bump in targets and become a bit more stable. If he‘s healthy, you should have zero issue plugging him in as your WR3 with top-10 upside. You‘re getting a discount due to his health concerns."
Julian Edelman,"Did you realize Edelman has seen 793 targets over his last 83 games? That‘s a pace of 152.9 targets per season. But what happens when your whole world is flipped upside down? Losing Tom Brady is going to affect Edelman more than anyone, as those two had a connection and were continually on the same page. The Patriots also threw the ball 620 times last year, a number they won‘t even come close to in 2020. It‘s a different offense, yes, but did you know Cam Newton has never thrown more than 517 pass attempts in a single season? He‘s also failed to throw for more than 3,869 yards since his rookie year and has thrown more than 24 touchdowns just once. Meanwhile, Edelman has never averaged more than 7.9 yards per target. What does that mean? Even if he were to get 125 targets, his career-best wouldn‘t have totaled 1,000 yards. There‘s a lot of issues and question marks surrounding Edelman, and we haven‘t even discussed him turning 34 years old this offseason. He‘s likely to post low-upside WR3 numbers when on the field, but that‘s been a chore in itself, as he‘s played all 16 games just three times over his 11 years in the league. If you take the late-WR approach in drafts, it‘s not the worst thing to have Edelman as your WR3, but ideally, he‘s your WR4 with all the question marks and lack of upside."
Phillip Lindsay,"I don‘t think I‘ve ever seen someone glanced over as easily as Lindsay in both real life and fantasy. Over the last two years, here are the only players who have more rushing yards than him: Ezekiel Elliott, Derrick Henry, Nick Chubb, Christian McCaffrey, Chris Carson, Saquon Barkley, Joe Mixon, and Todd Gurley."
Marlon Mack,"We never reached the expected performance out of Mack behind the Colts top-tier offensive line, so why shouldn‘t we have expected them to draft a running back? Drafting Jonathan Taylor in the second round was a straight dagger to Mack‘s value in any format. He‘ll be lucky to get eight touches per game in that offense this year."
Matt Breida,"There are a lot of fantasy owners expecting Jordan Howard to be the lead back in Miami, though if I‘m being honest, Breida may be the better option, and he‘s much cheaper. While health has been an issue for Breida, he‘s performed when given opportunity and will get most of the passing-down work in 2020. Staying on the field has been and will continue to be an obstacle."
Carson Wentz,"Despite missing every starting wide receiver not named Nelson Agholor, Wentz was able to throw for over 4,000 yards and 27 touchdowns in 2019, highlighting just how stable his floor is when healthy. The Eagles rewarded him by drafting three wide receivers, as well as trading for Marquise Goodwin. It‘s worth noting that the Eagles did strengthen their defense, which could lead to fewer pass attempts, but his efficiency should rise. His weekly ceiling may not be as high as someone like Josh Allen, but his weekly floor is much higher."
Brandin Cooks,"There have been just nine wide receivers who‘ve finished as a top-24 receiver in at least four of the last five years. Julio Jones, Mike Evans, Jarvis Landry, Michael Thomas, DeAndre Hopkins, Antonio Brown, Davante Adams, Amari Cooper, and... Cooks. He‘s done that with three different quarterbacks, and it‘s hard to say Deshaun Watson is a downgrade. The lack of offseason might prove to be a lot for the chemistry between the two, but knowing Cooks has transitioned well in the past, it shouldn‘t take too long. Concussions, on the other hand, are a big worrisome point. He only missed two games due to concussions in 2019, but they‘re starting to add up. It also affected his performance (clearly) in a big way, as he never topped 46 yards in the six games following the injury. There‘s going to be one of Will Fuller or Cooks who shines as a top-30 receiver with top-20 upside, yet neither are being drafted there. Knowing Cooks has been in this situation before, he gets a vote of confidence. If you land him as your WR4, you should be psyched. If Fuller misses any time, he‘d be a must-play WR2 nearly every week."
Hunter Henry,"There are a lot of questions surrounding the Chargers offense as we head into 2020, and the quarterback position is atop the list. No matter who is under center, they‘re not going to be throwing the ball a lot. Tyrod Taylor has never attempted more than 436 attempts in a season, and Justin Herbert is a rookie who‘ll go through growing pains. We already saw Henry being somewhat scaled back in this offense last year, as he failed to top 45 yards in each of the last five games. For a guy who‘s never topped 652 yards in a season and getting a downgrade at quarterback, he has a high draft price, and is likely not going to live up to expectations."
Tevin Coleman,"Now that Matt Breida is out of town, you‘d think there‘s more opportunity to be had for Coleman in this backfield, but the return of Jerick McKinnon could affect that. After seeing 16-plus carries in three of his first four games with the 49ers, Coleman never got more than 12 for the remainder of the season. He‘s best suited for a timeshare role and somewhat of a handcuff to Raheem Mostert. If Mostert were to miss time, Coleman would likely be an every-week RB2."
Tyler Higbee,"While it‘s easy to fall in love with the way Higbee ended the season, we mustn‘t forget that it‘s a very small sample size. He finished with 522 yards and two touchdowns over the final five games while seeing a massive 56 targets. He and Gerald Everett COMBINED for 85 targets the entire 2018 season. Injuries certainly helped Higbee get more targets as the year went on, but are we certain it‘ll continue in 2020? If you don‘t have to spend a pick in the top five or six rounds to get him, it‘s worth finding out."
Drew Brees,"I‘m not sure if anyone has realized it, but Brees has broken the age 40 barrier and is now 41 years old. Unlike Tom Brady, Brees is going to retire after this year. His average depth of target continues to decrease, which will require more pass attempts in order to reach QB1 territory. How to prove that? He completed 74 percent of his passes and threw a touchdown on 7.1 percent of his attempts, yet he was just the No. 7 quarterback in fantasy points per game. His ceiling at this point in middling QB1 territory."
Zack Moss,"The Bills have already come forward and said that Moss will take over the role that Frank Gore played last year. Before injuries and age started to add up for Gore, he was getting a lot of work in the Bills offense. He averaged 12.5 carries per game through Week 12, which is a big enough role to be considered an RB4. Not just that, but Gore ranked 12th among running backs for carries inside the five-yard-line. Moss is going to crush Devin Singletary‘s upside, and if Singletary were to miss time, Moss would be a top-15 start every week."
Kerryon Johnson,"We all know Johnson‘s struggled to stay on the field over his first two seasons, and it led the Lions to draft D‘Andre Swift at the top of the second round. You don‘t draft a running back at the top of the second round to not use him. Johnson‘s skillset clashes with that of Swift, so it‘s unlikely he sees more than 10-12 touches per game."
Tom Brady,"The end of an era. Crazy to write Brady‘s name under the Bucs, but hey, this might be the least crazy thing about 2020. He‘s going from Julian Edelman and Mohamed Sanu to Chris Godwin and Mike Evans. That should help his shockingly low 6.6 yards per attempt from 2019. Not only that, but 2019 was the first time in Brady‘s career where he didn‘t have a touchdown percentage of 4.0 or above. It was also the first time since 2004 where he completed less than 61 percent of his passes. Will the upgrade in receivers help him get back on track, or are we at the end for the greatest of all-time? The Patriots offensive line was not particularly good last year, so when you combined that with Brady‘s inability to move at all, you get bad numbers. The Bucs offensive line hasn‘t been good over the last few years, though they were slightly better in 2019, and they did draft tackle Tristan Wirfs in the first round, highlighting the fact that they know Brady needs protection. They don‘t have a James White/Julian Edelman on the roster to be his safety valve, though I suspect Godwin will become that player to him. Will the pass attempts drop off from Jameis Winston? Probably, but know that Bruce Arians has not fallen out of the top 20 in pass attempts since back in 2010. His teams have now been top-five in each of his last three years as a coach. Knowing they don‘t have a running back like Saquon Barkley on the roster, we should expect 580-plus pass attempts, and if you look at the receivers on the roster, and what their career averages are when it comes to yards per target, yards per reception, touchdowns, etc., it‘s hard to say Brady won‘t finish as a top-12 quarterback in 2020. There‘s risk that he‘s just flat-out done, as well as risk of chemistry with no offseason, but Brady did workout with a lot of the skill-position players even when the NFL advised against it. He‘s not a top-five candidate, but if you snag him as a back-end QB1, he shouldn‘t lose you fantasy leagues."
James White,"White has always been a value, especially in PPR formats, but with Tom Brady gone, this team is likely to throw a whole lot less, and White has never averaged more than 5.9 carries per game. He‘s not likely to live up to his usual RB3-type numbers. I wouldn‘t want to trust him every week."
Matthew Stafford,"There have been a lot of people talking about Stafford‘s 2019 season before injury, highlighting that it could be a sign of things to come. He was the No. 6 quarterback in fantasy through nine weeks, yes. But do you know who No. 5 was? Aaron Rodgers. That didn‘t end well. Stafford‘s 8.2 yards per attempt was easily a career high and just the second time in his career over 7.6 yards per attempt. He‘s going to be a fine low-end QB1/high-end QB2, but he‘s not likely to be a league winner at this stage of his career."
Latavius Murray,"Did everyone forget what happened when Alvin Kamara had to miss time last year? It was only two weeks, but in those two games, Murray destroyed the Bears and Cardinals to the tune of 307 total yards and four total touchdowns. He‘s legitimately a league-winner if Kamara misses time. This is what handcuff dreams are made of. He‘s also going to have bye week appeal, even when Kamara is on the field."
Hayden Hurst,"When projecting Matt Ryan for somewhere in the neighborhood of 620-plus pass attempts, you need to disburse them somewhere. The Falcons didn‘t even make an offer to Austin Hooper but decided to spend a second-round pick to acquire Hurst from the Ravens. It‘s clear they view him as someone who can step right into Hooper‘s role. It may take some time for Hurst to get acclimated to the new offense with a shortened offseason, but Hooper‘s role was massive last year. He totaled 97 targets in just 13 games, which was a pace of 119 targets on a full 16-game season. Did you know that of the 116 tight ends who‘ve seen more than 85 targets the last 10 years, that 97 of them finished as top-12 tight ends? That‘s an 83.6 percent success rate and it seems highly likely that Hurst is going to hit that. Move that number up to 90 targets and it‘s a 92.4 percent success rate. One of my bold predictions this year is that Hurst finishes as a top-five fantasy tight end. Don‘t think he was bad because he was playing behind Mark Andrews, one of the best tight ends in the league."
Diontae Johnson,"When the Steelers drafted Johnson in the third round in 2019, many did a double take, but once he got on the field, he proved worthy. The Steelers liked him so much, he saw a very-high 18.0 percent target share in his rookie season. It didn‘t hurt that JuJu Smith-Schuster was hurt and missing some time, but it highlights how much they believe in him. He‘ll play the “Antonio Brown role” in the offense moving forward while Smith-Schuster goes back to the slot. The downside is that Johnson will then see the opposing No. 1 cornerback, as they don‘t go into the slot very often. Still, throughout Ben Roethlisberger‘s long 15-year career (excluding 2019), he‘s supported two top-40 wide receivers in 12 of them, with 11 of them supporting two top-32 receivers. There is certainly risk with Roethlisberger‘s elbow, but at WR43 (his current ADP), you‘re getting a slight discount. I mean, even with Mason Rudolph and Devlin Hodges under center, he finished as the WR43 his rookie season. Snagging him as your WR4 would be a good idea, as I believe he‘ll be a WR3 more often than not."
Aaron Rodgers,"How did we get here? Rodgers was the poster child for consistency in fantasy football. He may not have had the Lamar Jackson upside, but you knew he would finish as a top-five quarterback as long as he was healthy. Last year was the first time he finished worse than the No. 7 quarterback while playing at least 10 games. His QB9 finish was worse than it appears at first sight. Rodgers actually finished with fewer than 15 fantasy points in 10-of-16 games. There were four games that essentially carried him through the season, and those games were against the Raiders, Giants, Chiefs, and Eagles. Three of those were among the worst in football. Fortunately, Rodgers has a semi-decent schedule in 2020, as he‘ll play the Lions twice, Panthers, Falcons, Texans, and Jaguars defenses during the fantasy season. Was it the new offense he was learning? Was it the lack of weapons to throw to? Neither has changed, so it‘s tough to say he‘ll return to the Rodgers we all know and love as fantasy players, but his cost doesn‘t reflect that it‘s even a possibility, as he‘s being drafted outside the top-10 quarterbacks. If you‘re one of those fantasy owners who refuses to spend up at quarterback, taking a shot on Rodgers in the eighth or ninth round would make plenty of sense. He‘s 36 years old and has seven top-two finishes under his belt."
Sony Michel,"After a somewhat disappointing rookie campaign where he failed to finish as a top-24 running back despite racking up 209 carries in the high-scoring Patriots offense, Michel had an even worse sophomore campaign, averaging just 3.7 yards per carry and scoring just seven touchdowns on 259 touches. The Patriots spent a first-round pick on him, so he‘ll be given every opportunity to succeed, but they won‘t allow him to be inefficient much longer with Damien Harris waiting in the wings. Michel simply hasn‘t been the player we watched at Georgia. It‘s hard to see losing Tom Brady actually help him become more efficient. Not only that, but he now has to worry about Cam Newton stealing goal-line touches."
Jared Cook,"It‘s very uncommon for tight ends to finish in the top-10 with less than 100 targets, but Cook finished as the No. 7 tight end in 2019 with just 65 targets. He did that because he scored a touchdown every 7.2 targets, a number that is sure to regress. It‘s tough to find him more targets in the offense in 2020 with the arrival of Emmanuel Sanders, too. He‘s likley going to be a touchdown-or-bust option, which puts him in the low-end TE1/high-end TE2 territory."
John Brown,"The addition of Stefon Diggs likely crushed the appeal that Brown had in fantasy football. The Bills gave up a first, fourth, fifth, and sixth-round pick for Diggs (and a seventh rounder). That‘s a lot. The fact that there will be no preseason certainly helps Brown, as he has experience and chemistry with Josh Allen, as well as knowing the offense. Here‘s the crazy part about Brown last year: He hit WR3 or better numbers in 73.3 percent of his games, which ranked 11th in the league. He only hit WR2 or better numbers in 26.7 percent of his games, which ranked 51st in the league. Now start removing targets to get Diggs his, and we suddenly lose some of that WR3 floor that he had. He is a good football player who just won‘t get enough targets to start on a consistent basis. Now, if Diggs were to miss any time, we could go back to playing him as a low-end WR2/high-end WR3. Until then, Brown is in the WR4 range for me."
Tarik Cohen,"Cohen had a down year last season (like most others in the Chicago offense), but it was largely just his lack of big plays. He‘s a lock for at least 70 catches, which makes him someone you can start as a Flex play in half- and full-PPR leagues. He‘s not going to cut into David Montgomery‘s carries very much, but with Montgomery potentially missing the first game or two with a groin injury, Cohen could get additional work early. Either way, as he often does, he‘s likely to outperform his average draft position."
Adrian Peterson,"It‘s remarkable what Peterson‘s been able to do at 33 and 34 years old, compiling nearly 2,000 rushing yards over the last two seasons, but now 35 years old and in a new offense with tons of competition, it‘s hard to see him making a difference in fantasy football. He‘s still likely to command 10-15 carries per game and maybe get goal-line duties, so he could fill in for a few weeks in flex spots for those who are desperate."
Deebo Samuel,"In case you missed it, Samuel broke his foot in June and needed to have surgery immediately. Any time a pass catcher has surgery on a foot or ankle in the same calendar year, you have to be concerned, as we‘ve seen players continually struggle to produce. Kyle Shanahan has already come forward saying that Samuel will miss games, and that the only question is how many. This is a bit reminiscent of A.J. Green last year, where I kept telling people to take the discount as your WR3. Oddly enough, Samuel is being drafted in WR3 territory as the WR30 right now. There‘s no way I‘ll advise to make that mistake again, especially with a player who has such a limited sample size. He saw 81 targets last year. That‘s hardly “can‘t miss” material, anyway. If he falls into the double-digit rounds, he‘s not a bad gamble, but I wouldn‘t take him prior to then."
Christian Kirk,"He has the benefit of playing a year with Kyler Murray in Kliff Kingsbury‘s offense, while DeAndre Hopkins may go through a learning curve. Despite playing just 13 games last year, Kirk saw 107 targets (132 target pace over 16 games). The issue is that Hopkins will get a large chunk of the pie, and Larry Fitzgerald didn‘t return to play another season to see just 50 targets. It‘ll be hard for anyone to correctly predict the target share among these receivers, but Kirk is an ascending talent who‘s entering year three of his young career. Knowing the Cardinals receivers combined for 368 targets last year, it‘s hard to see a scenario where Kirk sees more targets than he did last year, especially when you know they run a lot of 4WR sets (which cuts into the overall target pie). Kirk has also scored just three touchdowns in each of his first two seasons, so touchdowns aren‘t likely to make up for a lower target share. He‘s likely going to be somewhat of a hit-or-miss WR3/4 in 2020 with inconsistent targets."
Rob Gronkowski,"The fact that Tom Brady won‘t have a full offseason with his new receivers, you have to wonder if he‘ll gravitate towards his old friend Gronkowski. During Gronkowski‘s career, he posted top-five-type numbers in 40.9 percent of his games, which is easily the best of all-time. In fact, the closest tight end, Travis Kelce, has posted those numbers in 31.6 percent of his games. While Gronkowski isn‘t the young stud he once was, but he should be a consistent presence while on the field with Brady."
